pair,line,date1,date2,pol,season,snotel_dswe_mm,r_lidar2020,n2020,r_lidar2021,n2021,crosspol_mean,custom_unwrap
0,05208,2021-03-16,2021-03-22,HH,2021,27.9,0.129,66,0.017,66,0.82,False
0,05208,2021-03-16,2021-03-22,HV,2021,27.9,-0.059,1150,0.047,1150,0.82,False
0,05208,2021-03-16,2021-03-22,VH,2021,27.9,0.064,2271,0.241,2271,0.82,False
0,05208,2021-03-16,2021-03-22,VV,2021,27.9,0.11,3157,0.435,3157,0.82,False
1,23205,2021-03-16,2021-03-22,HH,2021,27.9,0.353,1924,0.549,1924,0.882,False
1,23205,2021-03-16,2021-03-22,HV,2021,27.9,0.187,3462,0.457,3462,0.882,False
1,23205,2021-03-16,2021-03-22,VH,2021,27.9,0.187,2395,0.438,2395,0.882,False
1,23205,2021-03-16,2021-03-22,VV,2021,27.9,0.187,3594,0.487,3594,0.882,False
2,23205,2021-03-10,2021-03-22,HH,2021,27.9,0.364,3660,0.584,3660,0.947,False
2,23205,2021-03-10,2021-03-22,HV,2021,27.9,0.362,3664,0.577,3664,0.947,False
2,23205,2021-03-10,2021-03-22,VH,2021,27.9,0.353,3578,0.566,3578,0.947,False
2,23205,2021-03-10,2021-03-22,VV,2021,27.9,0.37,3685,0.582,3685,0.947,False
3,05208,2021-03-10,2021-03-16,HH,2021,0.0,-0.183,4414,-0.263,4414,0.948,False
3,05208,2021-03-10,2021-03-16,HV,2021,0.0,-0.261,4415,-0.351,4415,0.948,False
3,05208,2021-03-10,2021-03-16,VH,2021,0.0,-0.243,4415,-0.322,4415,0.948,False
3,05208,2021-03-10,2021-03-16,VV,2021,0.0,-0.152,4414,-0.234,4414,0.948,False
4,23205,2021-03-10,2021-03-16,HH,2021,0.0,0.38,3814,0.507,3814,0.951,False
4,23205,2021-03-10,2021-03-16,HV,2021,0.0,0.374,3812,0.496,3812,0.951,False
4,23205,2021-03-10,2021-03-16,VH,2021,0.0,0.356,3806,0.461,3806,0.951,False
4,23205,2021-03-10,2021-03-16,VV,2021,0.0,0.37,3819,0.481,3819,0.951,False
5,23205,2021-03-03,2021-03-16,HH,2021,12.7,0.247,3632,0.482,3632,0.899,False
5,23205,2021-03-03,2021-03-16,HV,2021,12.7,0.217,3598,0.437,3598,0.899,False
5,23205,2021-03-03,2021-03-16,VH,2021,12.7,0.239,3597,0.456,3597,0.899,False
5,23205,2021-03-03,2021-03-16,VV,2021,12.7,0.25,3729,0.49,3729,0.899,False
6,05208,2021-03-03,2021-03-10,HH,2021,12.7,0.343,4412,0.458,4412,0.939,False
6,05208,2021-03-03,2021-03-10,HV,2021,12.7,0.323,4411,0.44,4411,0.939,False
6,05208,2021-03-03,2021-03-10,VH,2021,12.7,0.272,4413,0.372,4413,0.939,False
6,05208,2021-03-03,2021-03-10,VV,2021,12.7,0.402,4413,0.545,4413,0.939,False
7,23205,2021-03-03,2021-03-10,HH,2021,12.7,-0.006,3630,0.187,3630,0.911,False
7,23205,2021-03-03,2021-03-10,HV,2021,12.7,-0.064,3658,0.129,3658,0.911,False
7,23205,2021-03-03,2021-03-10,VH,2021,12.7,-0.043,3584,0.135,3584,0.911,False
7,23205,2021-03-03,2021-03-10,VV,2021,12.7,0.001,3679,0.229,3679,0.911,False
8,05208,2021-02-10,2021-03-03,HH,2021,172.8,0.673,3028,0.672,3028,0.894,False
8,05208,2021-02-10,2021-03-03,HV,2021,172.8,0.675,2879,0.668,2879,0.894,False
8,05208,2021-02-10,2021-03-03,VH,2021,172.8,0.563,3220,0.537,3220,0.894,False
8,05208,2021-02-10,2021-03-03,VV,2021,172.8,0.69,2972,0.67,2972,0.894,False
9,23205,2021-02-10,2021-03-03,HH,2021,172.8,0.297,3712,0.37,3712,0.871,True
9,23205,2021-02-10,2021-03-03,HV,2021,172.8,0.272,3716,0.35,3716,0.871,True
9,23205,2021-02-10,2021-03-03,VH,2021,172.8,0.158,3683,0.177,3683,0.871,True
9,23205,2021-02-10,2021-03-03,VV,2021,172.8,0.3,3723,0.375,3723,0.871,True
10,05208,2021-02-03,2021-02-10,HH,2021,15.2,0.173,4394,-0.078,4394,0.957,False
10,05208,2021-02-03,2021-02-10,HV,2021,15.2,0.097,4386,-0.175,4386,0.957,False
10,05208,2021-02-03,2021-02-10,VH,2021,15.2,0.102,4387,-0.171,4387,0.957,False
10,05208,2021-02-03,2021-02-10,VV,2021,15.2,0.121,4384,-0.143,4384,0.957,False
11,23205,2021-02-03,2021-02-10,HH,2021,15.2,0.201,3059,0.128,3059,0.936,False
11,23205,2021-02-03,2021-02-10,HV,2021,15.2,0.185,3067,0.109,3067,0.936,False
11,23205,2021-02-03,2021-02-10,VH,2021,15.2,0.195,3157,0.1,3157,0.936,False
11,23205,2021-02-03,2021-02-10,VV,2021,15.2,0.166,3050,0.1,3050,0.936,False
12,23205,2021-01-27,2021-02-10,HH,2021,58.4,0.114,3408,-0.024,3408,0.408,True
