pair,line,date1,date2,pol,snotel_dswe_m,snotel_density,anchor_offset_m,anchor_window_m,deramped,finite_frac,window_n,ramp_x_rad_per_km,ramp_y_rad_per_km,elev_term_rad_per_100m
0,05208,2021-03-16,2021-03-22,HH,0.0279,,,720.0,False,0.003,0,,,
0,05208,2021-03-16,2021-03-22,HV,0.0279,,0.0321,90.0,False,0.045,388,,,
0,05208,2021-03-16,2021-03-22,VH,0.0279,,0.0301,90.0,False,0.103,423,,,
0,05208,2021-03-16,2021-03-22,VV,0.0279,,0.0296,90.0,False,0.171,417,,,
1,23205,2021-03-16,2021-03-22,HH,0.0279,,,720.0,False,0.111,0,,,
1,23205,2021-03-16,2021-03-22,HV,0.0279,,0.0803,90.0,False,0.151,408,,,
1,23205,2021-03-16,2021-03-22,VH,0.0279,,0.0811,90.0,False,0.111,389,,,
1,23205,2021-03-16,2021-03-22,VV,0.0279,,0.0781,90.0,False,0.187,515,,,
2,23205,2021-03-10,2021-03-22,HH,0.0279,,0.0806,90.0,False,0.2,435,,,
2,23205,2021-03-10,2021-03-22,HV,0.0279,,0.0744,90.0,False,0.191,381,,,
2,23205,2021-03-10,2021-03-22,VH,0.0279,,0.0752,90.0,False,0.179,357,,,
2,23205,2021-03-10,2021-03-22,VV,0.0279,,0.075,90.0,False,0.212,500,,,
3,05208,2021-03-10,2021-03-16,HH,0.0,,0.01,90.0,False,0.389,750,,,
3,05208,2021-03-10,2021-03-16,HV,0.0,,0.005,90.0,False,0.39,771,,,
3,05208,2021-03-10,2021-03-16,VH,0.0,,0.0081,90.0,False,0.384,751,,,
3,05208,2021-03-10,2021-03-16,VV,0.0,,0.0055,90.0,False,0.406,817,,,
4,23205,2021-03-10,2021-03-16,HH,0.0,,0.0113,90.0,False,0.257,735,,,
4,23205,2021-03-10,2021-03-16,HV,0.0,,0.01,90.0,False,0.252,706,,,
4,23205,2021-03-10,2021-03-16,VH,0.0,,0.0116,90.0,False,0.238,685,,,
4,23205,2021-03-10,2021-03-16,VV,0.0,,0.0117,90.0,False,0.274,795,,,
5,23205,2021-03-03,2021-03-16,HH,0.0127,,0.0424,90.0,False,0.186,612,,,
5,23205,2021-03-03,2021-03-16,HV,0.0127,,0.0425,90.0,False,0.186,584,,,
5,23205,2021-03-03,2021-03-16,VH,0.0127,,0.0414,90.0,False,0.175,467,,,
5,23205,2021-03-03,2021-03-16,VV,0.0127,,0.0405,90.0,False,0.209,626,,,
6,05208,2021-03-03,2021-03-10,HH,0.0127,,0.0183,90.0,False,0.372,839,,,
6,05208,2021-03-03,2021-03-10,HV,0.0127,,0.0219,90.0,False,0.361,833,,,
6,05208,2021-03-03,2021-03-10,VH,0.0127,,0.0186,90.0,False,0.351,840,,,
6,05208,2021-03-03,2021-03-10,VV,0.0127,,0.0212,90.0,False,0.39,847,,,
7,23205,2021-03-03,2021-03-10,HH,0.0127,,0.0063,90.0,False,0.202,744,,,
7,23205,2021-03-03,2021-03-10,HV,0.0127,,0.0078,90.0,False,0.203,788,,,
7,23205,2021-03-03,2021-03-10,VH,0.0127,,0.0031,90.0,False,0.187,694,,,
7,23205,2021-03-03,2021-03-10,VV,0.0127,,0.0068,90.0,False,0.22,840,,,
8,05208,2021-02-10,2021-03-03,HH,0.1728,358.0,0.1864,360.0,True,0.179,754,0.1508,-0.1446,0.3429
8,05208,2021-02-10,2021-03-03,HV,0.1728,358.0,0.1859,360.0,True,0.161,1060,0.1494,-0.1223,0.3009
8,05208,2021-02-10,2021-03-03,VH,0.1728,358.0,0.1816,180.0,True,0.175,174,0.1317,-0.077,0.2751
8,05208,2021-02-10,2021-03-03,VV,0.1728,358.0,0.1853,360.0,True,0.193,694,0.1315,-0.1628,0.2959
9,23205,2021-02-10,2021-03-03,HH,0.1728,358.0,0.0121,90.0,False,0.177,310,,,
9,23205,2021-02-10,2021-03-03,HV,0.1728,358.0,0.0106,90.0,False,0.16,254,,,
9,23205,2021-02-10,2021-03-03,VH,0.1728,358.0,0.117,90.0,False,0.149,118,,,
9,23205,2021-02-10,2021-03-03,VV,0.1728,358.0,-0.0009,90.0,False,0.186,399,,,
10,05208,2021-02-03,2021-02-10,HH,0.0152,,-0.0353,90.0,False,0.405,805,,,
10,05208,2021-02-03,2021-02-10,HV,0.0152,,-0.0362,90.0,False,0.377,812,,,
10,05208,2021-02-03,2021-02-10,VH,0.0152,,-0.036,90.0,False,0.368,819,,,
10,05208,2021-02-03,2021-02-10,VV,0.0152,,-0.0351,90.0,False,0.429,871,,,
11,23205,2021-02-03,2021-02-10,HH,0.0152,,-0.0067,90.0,False,0.209,724,,,
11,23205,2021-02-03,2021-02-10,HV,0.0152,,-0.0074,90.0,False,0.198,682,,,
11,23205,2021-02-03,2021-02-10,VH,0.0152,,-0.0066,90.0,False,0.19,689,,,
11,23205,2021-02-03,2021-02-10,VV,0.0152,,-0.0062,90.0,False,0.222,752,,,
12,23205,2021-01-27,2021-02-10,HH,0.0584,575.0,-0.0952,90.0,False,0.17,460,,,
12,23205,2021-01-27,2021-02-10,HV,0.0584,575.0,-0.0055,90.0,False,0.157,388,,,
12,23205,2021-01-27,2021-02-10,VH,0.0584,575.0,-0.0024,90.0,False,0.131,379,,,
12,23205,2021-01-27,2021-02-10,VV,0.0584,575.0,-0.0922,90.0,False,0.199,446,,,
13,23205,2021-01-27,2021-02-03,HH,0.0432,243.0,,720.0,False,0.015,0,,,
13,23205,2021-01-27,2021-02-03,HV,0.0432,243.0,,720.0,False,0.011,0,,,
13,23205,2021-01-27,2021-02-03,VH,0.0432,243.0,,720.0,False,0.036,0,,,
13,23205,2021-01-27,2021-02-03,VV,0.0432,243.0,,,,0.0,0,,,
14,23205,2021-01-20,2021-02-03,HH,0.061,200.0,-0.09,90.0,False,0.131,533,,,
14,23205,2021-01-20,2021-02-03,HV,0.061,200.0,-0.1821,90.0,False,0.129,480,,,
14,23205,2021-01-20,2021-02-03,VH,0.061,200.0,-0.0931,90.0,False,0.123,459,,,
14,23205,2021-01-20,2021-02-03,VV,0.061,200.0,-0.089,90.0,False,0.168,576,,,
15,23205,2021-01-20,2021-01-27,HH,0.0178,140.0,0.0121,90.0,False,0.176,786,,,
15,23205,2021-01-20,2021-01-27,HV,0.0178,140.0,0.0122,90.0,False,0.197,757,,,
15,23205,2021-01-20,2021-01-27,VH,0.0178,140.0,0.0128,90.0,False,0.17,702,,,
15,23205,2021-01-20,2021-01-27,VV,0.0178,140.0,0.0138,90.0,False,0.236,802,,,
16,23205,2021-01-15,2021-01-27,HH,0.0178,234.0,-0.0299,90.0,False,0.112,611,,,
16,23205,2021-01-15,2021-01-27,HV,0.0178,234.0,-0.0285,90.0,False,0.117,545,,,
16,23205,2021-01-15,2021-01-27,VH,0.0178,234.0,-0.0306,90.0,False,0.091,429,,,
16,23205,2021-01-15,2021-01-27,VV,0.0178,234.0,-0.0293,90.0,False,0.172,721,,,
17,23205,2021-01-15,2021-01-20,HH,0.0,,-0.0256,90.0,False,0.247,818,,,
17,23205,2021-01-15,2021-01-20,HV,0.0,,-0.0239,90.0,False,0.239,791,,,
17,23205,2021-01-15,2021-01-20,VH,0.0,,-0.0241,90.0,False,0.23,732,,,
17,23205,2021-01-15,2021-01-20,VV,0.0,,-0.025,90.0,False,0.255,821,,,
18,23205,2020-02-21,2020-03-11,HH,0.0305,,0.0429,90.0,False,0.126,369,,,
18,23205,2020-02-21,2020-03-11,HV,0.0305,,0.0465,90.0,False,0.091,315,,,
18,23205,2020-02-21,2020-03-11,VH,0.0305,,,720.0,False,0.078,0,,,
18,23205,2020-02-21,2020-03-11,VV,0.0305,,0.0393,90.0,False,0.154,415,,,
19,23205,2020-02-13,2020-02-21,HH,0.033,260.0,0.0321,90.0,False,0.126,495,,,
19,23205,2020-02-13,2020-02-21,HV,0.033,260.0,0.0337,90.0,False,0.131,409,,,
19,23205,2020-02-13,2020-02-21,VH,0.033,260.0,0.0296,90.0,False,0.076,311,,,
19,23205,2020-02-13,2020-02-21,VV,0.033,260.0,0.0332,90.0,False,0.158,508,,,
20,23205,2020-01-31,2020-02-13,HH,0.0635,2500.0,,720.0,False,0.067,0,,,
20,23205,2020-01-31,2020-02-13,HV,0.0635,2500.0,,720.0,False,0.055,0,,,
20,23205,2020-01-31,2020-02-13,VH,0.0635,2500.0,,720.0,False,0.043,0,,,
20,23205,2020-01-31,2020-02-13,VV,0.0635,2500.0,,720.0,False,0.079,0,,,
21,23205,2019-12-20,2020-01-31,HH,0.3302,325.0,,720.0,False,0.027,0,,,
21,23205,2019-12-20,2020-01-31,HV,0.3302,325.0,,720.0,False,0.026,0,,,
21,23205,2019-12-20,2020-01-31,VH,0.3302,325.0,,720.0,False,0.019,0,,,
21,23205,2019-12-20,2020-01-31,VV,0.3302,325.0,,720.0,False,0.032,0,,,
