pair,line,date1,date2,baseline_days,lidar,pol,med_coh_hh,n90_unw,n90_wrap,r_unw_90m,R_wrap_90m,r_unw_3m,R_wrap_3m
0,05208,2021-03-16,2021-03-22,6,2021-03-15,HH,0.348,69,4452,0.509,0.325,0.181,0.154
0,05208,2021-03-16,2021-03-22,6,2021-03-15,HV,0.348,1194,4452,0.119,0.201,0.093,0.127
0,05208,2021-03-16,2021-03-22,6,2021-03-15,VH,0.348,2319,4452,0.347,0.197,0.308,0.123
0,05208,2021-03-16,2021-03-22,6,2021-03-15,VV,0.348,3208,4452,0.487,0.396,0.404,0.187
1,23205,2021-03-16,2021-03-22,6,2021-03-15,HH,0.365,1965,3894,0.326,0.282,0.257,0.157
1,23205,2021-03-16,2021-03-22,6,2021-03-15,HV,0.365,3528,3894,0.257,0.296,0.23,0.162
1,23205,2021-03-16,2021-03-22,6,2021-03-15,VH,0.365,2431,3894,0.227,0.297,0.219,0.156
1,23205,2021-03-16,2021-03-22,6,2021-03-15,VV,0.365,3643,3894,0.298,0.321,0.235,0.18
2,23205,2021-03-10,2021-03-22,12,2021-03-15,HH,0.381,3715,3888,0.239,0.334,0.163,0.156
2,23205,2021-03-10,2021-03-22,12,2021-03-15,HV,0.381,3723,3888,0.186,0.301,0.143,0.159
2,23205,2021-03-10,2021-03-22,12,2021-03-15,VH,0.381,3637,3888,0.17,0.315,0.146,0.157
2,23205,2021-03-10,2021-03-22,12,2021-03-15,VV,0.381,3732,3888,0.162,0.25,0.12,0.153
3,05208,2021-03-10,2021-03-16,6,2021-03-15,HH,0.473,4452,4452,-0.261,0.256,-0.099,0.113
3,05208,2021-03-10,2021-03-16,6,2021-03-15,HV,0.473,4452,4452,-0.301,0.335,-0.124,0.123
3,05208,2021-03-10,2021-03-16,6,2021-03-15,VH,0.473,4452,4452,-0.308,0.337,-0.128,0.12
3,05208,2021-03-10,2021-03-16,6,2021-03-15,VV,0.473,4452,4452,-0.175,0.146,-0.049,0.123
