date,swe_mm,depth_mm,tavg_c
2019-10-01,0.0,0.0,-0.4
2019-10-02,0.0,0.0,0.0
2019-10-03,0.0,0.0,4.2
2019-10-04,0.0,0.0,0.4
2019-10-05,0.0,0.0,0.7
2019-10-06,0.0,0.0,3.0
2019-10-07,0.0,0.0,6.6
2019-10-08,0.0,0.0,6.5
2019-10-09,0.0,0.0,-3.8
2019-10-10,0.0,0.0,-4.2
2019-10-11,0.0,0.0,-0.2
2019-10-12,0.0,0.0,3.8
2019-10-13,0.0,0.0,6.5
2019-10-14,0.0,0.0,4.8
2019-10-15,0.0,0.0,7.4
2019-10-16,0.0,0.0,11.0
2019-10-17,0.0,0.0,2.7
2019-10-18,0.0,0.0,-0.7
2019-10-19,17.8,152.4,-1.8
2019-10-20,20.3,152.4,-2.0
2019-10-21,20.3,127.0,0.5
2019-10-22,20.3,76.2,2.6
2019-10-23,20.3,50.8,1.1
2019-10-24,20.3,50.8,1.2
2019-10-25,20.3,50.8,6.5
2019-10-26,20.3,50.8,-0.7
2019-10-27,20.3,50.8,-5.8
2019-10-28,20.3,50.8,-6.5
2019-10-29,20.3,50.8,-10.5
2019-10-30,20.3,50.8,-7.9
2019-10-31,22.9,76.2,-3.0
2019-11-01,22.9,76.2,-1.8
2019-11-02,22.9,76.2,0.4
2019-11-03,22.9,50.8,2.9
2019-11-04,22.9,50.8,3.3
2019-11-05,22.9,50.8,3.9
2019-11-06,22.9,50.8,4.0
2019-11-07,22.9,50.8,2.8
2019-11-08,22.9,50.8,5.2
2019-11-09,22.9,50.8,5.7
2019-11-10,22.9,50.8,5.1
2019-11-11,22.9,50.8,0.2
2019-11-12,22.9,50.8,2.4
2019-11-13,20.3,50.8,2.1
2019-11-14,17.8,50.8,3.0
2019-11-15,15.2,50.8,4.9
2019-11-16,12.7,50.8,1.8
2019-11-17,10.2,25.4,3.6
2019-11-18,10.2,25.4,5.5
2019-11-19,10.2,25.4,2.1
2019-11-20,10.2,25.4,0.7
2019-11-21,10.2,25.4,-1.3
2019-11-22,10.2,25.4,-1.0
2019-11-23,10.2,25.4,-0.8
2019-11-24,10.2,25.4,-1.1
2019-11-25,10.2,25.4,-4.6
2019-11-26,10.2,25.4,-7.6
2019-11-27,17.8,127.0,-6.5
2019-11-28,17.8,76.2,-6.9
2019-11-29,20.3,76.2,-6.9
2019-11-30,20.3,101.6,-9.8
2019-12-01,33.0,228.6,-4.9
2019-12-02,38.1,203.2,-2.4
2019-12-03,38.1,203.2,-1.8
2019-12-04,38.1,177.8,-2.5
2019-12-05,38.1,177.8,-3.6
2019-12-06,38.1,177.8,-2.4
2019-12-07,55.9,279.4,0.0
2019-12-08,68.6,304.8,-1.4
2019-12-09,68.6,279.4,-6.4
2019-12-10,68.6,279.4,-5.5
2019-12-11,94.0,482.6,-2.0
2019-12-12,134.6,660.4,-0.9
2019-12-13,134.6,660.4,-4.0
2019-12-14,134.6,660.4,-6.4
2019-12-15,134.6,660.4,-8.1
2019-12-16,134.6,635.0,-11.9
2019-12-17,134.6,609.6,-9.2
2019-12-18,137.2,609.6,-4.4
2019-12-19,152.4,736.6,-3.0
2019-12-20,152.4,711.2,0.2
2019-12-21,152.4,711.2,2.0
2019-12-22,152.4,685.8,2.5
2019-12-23,152.4,660.4,-0.4
2019-12-24,160.0,711.2,-4.2
2019-12-25,160.0,660.4,-7.2
2019-12-26,160.0,660.4,-7.9
2019-12-27,160.0,635.0,-8.7
2019-12-28,160.0,685.8,-7.6
2019-12-29,160.0,660.4,-5.6
2019-12-30,160.0,660.4,-5.7
2019-12-31,175.3,711.2,-4.7
2020-01-01,198.1,863.6,-2.0
2020-01-02,200.7,838.2,-4.0
2020-01-03,200.7,812.8,-3.2
2020-01-04,203.2,838.2,-3.6
2020-01-05,213.4,889.0,-6.4
2020-01-06,223.5,939.8,-4.7
2020-01-07,223.5,939.8,-1.2
2020-01-08,233.7,965.2,-3.8
2020-01-09,243.8,1041.4,-7.2
2020-01-10,251.5,1117.6,-10.0
2020-01-11,294.6,1346.2,-5.3
2020-01-12,340.4,1727.2,-6.5
2020-01-13,355.6,1854.2,-8.3
2020-01-14,370.8,1752.6,-7.6
2020-01-15,370.8,1701.8,-10.1
2020-01-16,375.9,1701.8,-2.7
2020-01-17,381.0,1676.4,-7.0
2020-01-18,381.0,1625.6,-6.1
2020-01-19,383.5,1574.8,-4.2
2020-01-20,383.5,1524.0,1.0
2020-01-21,393.7,1574.8,-0.8
2020-01-22,393.7,1549.4,-4.5
2020-01-23,398.8,1524.0,-1.5
2020-01-24,416.6,1600.2,-0.9
2020-01-25,421.6,1498.6,-1.8
2020-01-26,447.0,1625.6,-1.2
2020-01-27,452.1,1676.4,-2.8
2020-01-28,475.0,1803.4,-2.5
2020-01-29,480.1,1778.0,-4.3
2020-01-30,480.1,1727.2,-4.1
2020-01-31,482.6,1727.2,-2.3
2020-02-01,485.1,1676.4,1.1
2020-02-02,485.1,1676.4,-4.6
2020-02-03,485.1,1676.4,-9.5
2020-02-04,485.1,1625.6,-11.4
2020-02-05,490.2,1727.2,-7.9
2020-02-06,523.2,1854.2,-0.9
2020-02-07,541.0,1854.2,0.0
2020-02-08,546.1,1803.4,-4.4
2020-02-09,546.1,1778.0,-6.5
2020-02-10,546.1,1778.0,-6.0
2020-02-11,546.1,1778.0,-5.8
2020-02-12,546.1,1752.6,-3.6
2020-02-13,546.1,1752.6,-3.4
