location,state,date,dataset,note,uavsar_overlap,site,flag
Senator Beck Basin,CO,2016-09-26,"ASO snow-off DTM (bare-earth reference, ASO_3M_PCDTM)",snow-off DTM (bare-earth reference surface),"irnton,tellur",USCOSB,
Uncompahgre Basin,CO,2014-09-10,"ASO snow-off DTM (bare-earth reference, ASO_3M_PCDTM)",snow-off DTM (bare-earth reference surface),"irnton,tellur",USCOUB,
Cherry-Eleanor,CA,2016-04-01,ASO lidar (NSIDC 2013-19),,"SMAP13,tuolum",USCACE,
Cherry-Eleanor,CA,2016-04-07,ASO lidar (NSIDC 2013-19),,"SMAP13,tuolum",USCACE,
Cherry-Eleanor,CA,2016-04-16,ASO lidar (NSIDC 2013-19),,"SMAP13,tuolum",USCACE,
Cherry-Eleanor,CA,2016-04-26,ASO lidar (NSIDC 2013-19),,"SMAP13,tuolum",USCACE,
Cherry-Eleanor,CA,2017-01-29,ASO lidar (NSIDC 2013-19),,"SMAP13,tuolum",USCACE,
Cherry-Eleanor,CA,2018-04-23,ASO lidar (NSIDC 2013-19),,"SMAP13,tuolum",USCACE,
San Joaquin West (JW),CA,2018-04-23,ASO lidar (NSIDC 2013-19),,"SMAP13,sierra,tuolum",USCAJW,
San Joaquin West (JW),CA,2019-03-15,ASO lidar (NSIDC 2013-19),,"SMAP13,sierra,tuolum",USCAJW,
Kings Canyon,CA,2015-04-03,ASO lidar (NSIDC 2013-19),,sierra,USCAKC,
Kings Canyon,CA,2015-04-12,ASO lidar (NSIDC 2013-19),,sierra,USCAKC,
Kings Canyon,CA,2015-04-26,ASO lidar (NSIDC 2013-19),,sierra,USCAKC,
Kings Canyon,CA,2018-04-26,ASO lidar (NSIDC 2013-19),,sierra,USCAKC,
Kings Canyon,CA,2019-03-16,ASO lidar (NSIDC 2013-19),,sierra,USCAKC,
Kings Canyon,CA,2019-03-26,ASO lidar (NSIDC 2013-19),,sierra,USCAKC,
Kings Canyon,CA,2019-04-18,ASO lidar (NSIDC 2013-19),,sierra,USCAKC,
Kings Canyon,CA,2019-04-27,ASO lidar (NSIDC 2013-19),,sierra,USCAKC,
Kings Canyon,CA,2019-04-28,ASO lidar (NSIDC 2013-19),,sierra,USCAKC,
Kern,CA,2018-04-26,ASO lidar (NSIDC 2013-19),,sierra,USCAKN,
Kern,CA,2019-04-17,ASO lidar (NSIDC 2013-19),,sierra,USCAKN,
Lakes Basin (Mammoth),CA,2015-04-28,ASO lidar (NSIDC 2013-19),,"SMAP13,sierra",USCALB,
Lakes Basin (Mammoth),CA,2017-01-28,ASO lidar (NSIDC 2013-19),,"SMAP13,sierra",USCALB,
Lakes Basin (Mammoth),CA,2018-04-22,ASO lidar (NSIDC 2013-19),,"SMAP13,sierra",USCALB,
Lakes Basin (Mammoth),CA,2019-03-09,ASO lidar (NSIDC 2013-19),,"SMAP13,sierra",USCALB,
Merced Basin,CA,2014-03-24,ASO lidar (NSIDC 2013-19),,"SMAP13,tuolum",USCAMB,
Merced Basin,CA,2014-04-06,ASO lidar (NSIDC 2013-19),,"SMAP13,tuolum",USCAMB,
Merced Basin,CA,2014-04-14,ASO lidar (NSIDC 2013-19),,"SMAP13,tuolum",USCAMB,
Merced Basin,CA,2014-04-23,ASO lidar (NSIDC 2013-19),,"SMAP13,tuolum",USCAMB,
Merced Basin,CA,2014-04-29,ASO lidar (NSIDC 2013-19),,"SMAP13,tuolum",USCAMB,
Merced Basin,CA,2015-04-28,ASO lidar (NSIDC 2013-19),,"SMAP13,tuolum",USCAMB,
Merced Basin,CA,2018-04-25,ASO lidar (NSIDC 2013-19),,"SMAP13,tuolum",USCAMB,
Merced Basin,CA,2019-03-29,ASO lidar (NSIDC 2013-19),,"SMAP13,tuolum",USCAMB,
Rush Creek,CA,2015-03-26,ASO lidar (NSIDC 2013-19),,"SMAP13,sierra,tuolum",USCARC,
